CustomerID,Age,Gender,Income,CreditScore,MaritalStatus,LoanAmount,LoanStatus
111,28,Female,54469,724,Married,49512,0
112,68,Male,28496,746,Single,49509,1
113,34,Male,140522,367,Divorced,49508,1
114,25,Male,32270,365,Married,49479,0
115,52,Male,96008,803,Married,49476,0
116,52,Male,40724,803,Divorced,49473,0
117,50,Female,50416,620,Married,49470,0
118,22,Male,55575,746,Single,49460,1
119,59,Female,101190,509,Married,49455,0
120,56,Female,96614,669,Married,49452,1
121,58,Male,113566,757,Single,49446,0
122,45,Female,140989,462,Single,49445,1
123,24,Male,93108,631,Single,49445,0
124,26,Male,37408,649,Divorced,49437,1
125,25,Male,147192,767,Married,49432,0
126,29,Female,39359,725,Married,49432,1
127,51,Male,28698,626,Single,49426,0
128,50,Male,90392,405,Divorced,49424,1
129,65,Male,113063,554,Single,49417,0
130,40,Female,59492,657,Married,49411,0
131,41,Male,94781,743,Divorced,49409,0
132,54,Female,63634,412,Divorced,49406,0
133,52,Female,137255,329,Married,49401,0
134,61,Male,62864,823,Divorced,49394,1
135,57,Female,114482,345,Divorced,49393,1
136,39,Female,57355,470,Single,49385,1
137,44,Male,57690,429,Divorced,49385,0
138,52,Male,57814,652,Single,49384,0
139,18,Male,51645,502,Divorced,49382,1
140,52,Female,104814,525,Single,49381,0
141,54,Male,92739,379,Single,49381,1
142,64,Female,76630,609,Divorced,49378,0
143,31,Female,68171,334,Single,49373,1
144,20,Female,41658,460,Married,49367,1
145,18,Female,143980,734,Married,49362,1
146,22,Female,146541,837,Divorced,49360,0
147,43,Male,128132,524,Divorced,49353,1
148,31,Male,35797,745,Divorced,49343,1
149,56,Female,78799,616,Married,49339,0
150,44,Female,138301,713,Divorced,49337,0
151,26,Male,118342,394,Divorced,49326,0
152,32,Male,116494,524,Single,49324,1
153,32,Female,72236,365,Divorced,49324,0
154,43,Female,26265,696,Married,49321,0
155,59,Male,147119,509,Married,49319,0
156,30,Male,145611,773,Divorced,49314,0
157,68,Female,92134,789,Married,49279,0
158,49,Male,120719,479,Single,49270,1
159,56,Male,102678,823,Single,49260,1
160,66,Female,73494,758,Divorced,49248,0
161,69,Female,141754,367,Divorced,49242,0
162,49,Female,72268,628,Single,49241,0
163,21,Male,135452,501,Single,49234,1
164,47,Female,46998,774,Divorced,49231,1
165,54,Male,111426,817,Married,49230,1
166,40,Female,114414,314,Divorced,49222,0
167,56,Female,81339,341,Divorced,49216,1
168,62,Male,34306,842,Divorced,49208,1
169,32,Male,84006,588,Divorced,49201,1
170,60,Female,138717,832,Divorced,49200,0
171,46,Female,67345,543,Divorced,49193,1
172,53,Male,31885,473,Divorced,49187,1
173,30,Female,129681,833,Married,49187,1
174,49,Male,63826,808,Divorced,49187,0
175,24,Male,75597,543,Single,49177,1
176,68,Female,27443,359,Divorced,49175,0
177,39,Male,117375,403,Married,49162,0
178,45,Male,136005,602,Single,49149,1
179,19,Male,37084,376,Divorced,49145,0
180,59,Female,109447,317,Divorced,49145,1
181,62,Male,24383,833,Single,49144,1
182,23,Female,112313,483,Divorced,49139,0
183,45,Female,54361,849,Married,49134,1
184,45,Female,100294,580,Divorced,49130,1
185,61,Male,81331,587,Married,49121,1
186,61,Male,115057,824,Divorced,49121,0
187,37,Female,40529,773,Single,49119,0
188,47,Female,78574,566,Married,49119,0
189,28,Male,108627,656,Divorced,49112,1
190,45,Female,141685,300,Divorced,49109,1
191,42,Female,125330,326,Single,49108,0
192,56,Male,116917,847,Single,49105,0
193,50,Female,120916,459,Married,49099,1
194,18,Male,50932,698,Married,49097,0
195,44,Male,129633,842,Married,49077,1
196,69,Female,142087,426,Divorced,49071,0
197,30,Male,21908,509,Divorced,49070,1
198,58,Male,125258,449,Married,49069,1
199,20,Male,133489,330,Divorced,49056,1
200,56,Female,50358,601,Single,49056,0
201,23,Female,50412,556,Divorced,49048,1
202,25,Female,148319,356,Married,49045,0
203,44,Male,103710,308,Divorced,49045,1
204,26,Male,142856,304,Single,49033,1
205,54,Female,101032,413,Married,49030,1
206,50,Female,22928,504,Married,49029,0
207,68,Male,85158,323,Married,49017,1
208,59,Female,50632,792,Married,49012,0
209,61,Female,52309,705,Divorced,49010,1
210,41,Female,29280,402,Single,49008,1
211,32,Female,60449,359,Divorced,48993,0
212,49,Female,107171,385,Divorced,48993,0
213,49,Male,46957,671,Married,48982,1
214,41,Female,56895,501,Single,48974,0
215,58,Female,90499,388,Divorced,48972,1
216,69,Male,113057,736,Single,48972,0
217,66,Male,118151,419,Single,48970,1
218,66,Male,130065,455,Single,48960,0
219,69,Male,131858,698,Single,48958,0
220,29,Female,41695,487,Divorced,48951,0
221,56,Female,94893,351,Single,48940,0
222,19,Female,83123,830,Divorced,48934,1
223,20,Female,45176,779,Single,48931,0
224,66,Male,38409,529,Single,48929,0
225,54,Male,144464,780,Divorced,48922,0
226,66,Female,76967,429,Married,48921,1
227,34,Female,20987,354,Divorced,48907,1
228,66,Female,74462,570,Single,48903,0
229,19,Female,87501,399,Divorced,48901,1
230,19,Male,125620,368,Single,48879,1
231,45,Female,116854,598,Divorced,48877,0
232,40,Male,46015,828,Divorced,48872,1
233,54,Male,114727,653,Divorced,48872,0
234,49,Male,132350,451,Married,48864,0
235,50,Male,86404,629,Divorced,48863,1
236,18,Female,136751,415,Divorced,48862,1
237,36,Female,148807,841,Married,48862,0
238,19,Female,70281,622,Married,48857,0
239,61,Female,57146,528,Single,48851,0
240,43,Male,68231,659,Single,48848,1
241,49,Male,49032,304,Divorced,48834,1
242,23,Male,48305,327,Single,48833,1
243,49,Female,74306,663,Divorced,48814,1
244,21,Male,108176,761,Married,48812,0
245,28,Male,141139,530,Married,48803,1
246,34,Male,38318,694,Divorced,48798,1
247,55,Male,33246,570,Single,48792,1
248,41,Female,53844,603,Single,48789,0
249,22,Male,52602,682,Single,48788,1
250,69,Male,41584,327,Divorced,48787,0
251,51,Female,136327,818,Single,48787,1
252,23,Female,35169,498,Married,48783,0
253,39,Female,45968,381,Married,48777,0
254,28,Male,26385,387,Married,48777,0
255,65,Male,93758,689,Married,48777,0
256,33,Male,142684,750,Married,48777,1
257,50,Male,135391,732,Married,48773,1
258,26,Female,45444,673,Married,48773,1
259,23,Male,123784,734,Married,48770,0
260,33,Male,143112,486,Married,48765,0
261,46,Female,126081,689,Divorced,48764,0
262,20,Female,82497,517,Divorced,48756,0
263,37,Female,25362,407,Married,48754,1
264,53,Male,119254,849,Married,48746,1
265,36,Male,28250,648,Married,48740,0
266,43,Male,88354,821,Single,48728,1
267,20,Male,56368,325,Divorced,48728,0
268,36,Male,64109,347,Married,48726,1
269,37,Female,100589,669,Divorced,48710,1
270,49,Female,77645,313,Married,48698,0
271,24,Male,76997,486,Single,48687,1
272,69,Male,47426,823,Married,48686,0
273,58,Male,137632,578,Divorced,48683,1
274,50,Male,132637,640,Divorced,48678,0
275,57,Male,59023,627,Divorced,48675,0
276,56,Female,142268,324,Divorced,48672,0
277,35,Female,79267,828,Married,48672,1
278,57,Female,44892,725,Single,48665,1
279,18,Male,79232,328,Single,48657,0
280,28,Male,139952,622,Married,48652,0
281,45,Female,129211,612,Married,48645,1
282,42,Female,114897,569,Divorced,48642,0
283,67,Male,79225,594,Married,48639,0
284,40,Female,36007,522,Single,48634,1
285,48,Female,99777,374,Married,48633,0
286,47,Male,64858,401,Married,48622,0
287,59,Female,65073,831,Single,48622,0
288,52,Female,109438,472,Single,48620,1
289,24,Female,110042,303,Married,48620,1
290,33,Male,103098,778,Divorced,48609,0
291,43,Female,40239,694,Divorced,48606,0
292,65,Female,82969,466,Divorced,48605,1
293,69,Female,33065,599,Single,48604,0
294,66,Male,130951,417,Single,48602,0
295,19,Male,61291,811,Divorced,48596,0
296,18,Female,58805,474,Married,48589,1
297,65,Male,118831,458,Married,48578,1
298,29,Female,38443,683,Married,48574,1
299,22,Male,29290,526,Single,48566,0
300,54,Male,20211,337,Single,48565,0
301,49,Female,103634,762,Divorced,48563,1
302,26,Female,39072,730,Married,48561,0
303,58,Female,63290,403,Single,48558,1
304,52,Male,105186,492,Single,48556,0
305,36,Female,35115,549,Divorced,48554,1
306,65,Male,25149,312,Married,48554,1
307,33,Male,61992,687,Single,48553,1
308,20,Female,37716,370,Single,48550,0
309,37,Male,117724,737,Single,48540,0
310,41,Female,33621,343,Single,48540,1
311,50,Male,26820,571,Married,48539,0
312,41,Female,149728,313,Divorced,48538,1
313,69,Male,133065,670,Married,48536,1
314,28,Male,62800,411,Divorced,48531,1
315,66,Female,75043,678,Single,48530,1
316,25,Male,50399,613,Married,48529,0
317,53,Female,139374,714,Divorced,48518,1
318,55,Male,34002,784,Divorced,48515,0
319,57,Male,63098,468,Single,48508,1
320,37,Male,65511,545,Divorced,48505,1
321,52,Female,73243,565,Divorced,48499,1
322,65,Female,135131,542,Divorced,48488,1
323,42,Female,48750,599,Single,48480,1
324,52,Female,111610,626,Married,48479,1
325,42,Female,37310,829,Single,48473,1
326,46,Male,75398,641,Divorced,48459,0
327,35,Male,102542,548,Divorced,48457,0
328,63,Female,95207,679,Married,48455,0
329,35,Male,137725,831,Divorced,48448,0
330,19,Male,64345,680,Married,48448,0
331,52,Male,113430,341,Divorced,48440,1
332,33,Male,134921,644,Divorced,48434,1
333,58,Female,111729,560,Single,48430,0
334,53,Male,71843,605,Single,48429,1
335,50,Female,30222,539,Married,48425,1
336,21,Female,109322,612,Single,48419,1
337,50,Male,51509,740,Married,48417,0
338,31,Female,20386,432,Single,48417,0
339,38,Male,84334,350,Married,48415,0
340,65,Male,87170,691,Divorced,48415,1
341,37,Male,60878,822,Married,48415,0
342,25,Female,89669,807,Single,48407,1
343,24,Female,127680,653,Married,48396,1
344,20,Female,58349,694,Single,48396,1
345,34,Male,120271,395,Divorced,48388,1
346,50,Male,41952,405,Single,48379,1
347,65,Male,141972,812,Divorced,48378,0
348,29,Female,110352,541,Divorced,48377,0
349,68,Male,41529,787,Single,48359,0
350,39,Male,91303,814,Divorced,48356,1
351,39,Female,61521,360,Single,48356,0
352,63,Female,38383,715,Married,48354,0
353,47,Female,24901,593,Divorced,48346,1
354,55,Male,62889,601,Married,48336,0
355,55,Male,34633,469,Married,48328,1
356,62,Male,82244,340,Single,48323,1
357,68,Female,149177,530,Single,48318,1
358,25,Female,39163,708,Divorced,48313,1
359,44,Female,79019,596,Single,48313,0
360,44,Female,30707,754,Married,48308,0
361,51,Male,108112,356,Married,48305,1
362,38,Male,103597,539,Married,48303,0
363,47,Male,65101,475,Divorced,48293,0
364,50,Male,64706,362,Single,48292,1
365,45,Male,97084,437,Married,48283,1
366,64,Male,35115,753,Divorced,48283,1
367,50,Male,95379,748,Single,48275,0
368,22,Male,122481,525,Single,48242,0
369,65,Female,59979,742,Married,48238,1
370,36,Female,60641,505,Divorced,48232,1
371,21,Male,89377,326,Married,48213,1
372,52,Female,141786,756,Married,48206,0
373,66,Male,26416,406,Divorced,48204,1
374,34,Male,30633,743,Married,48201,0
375,61,Female,148785,335,Divorced,48197,1
376,45,Male,123189,454,Divorced,48197,0
377,47,Male,20594,468,Married,48191,0
378,46,Male,34393,571,Married,48186,1
379,63,Male,55380,846,Single,48178,0
380,23,Male,65056,719,Single,48176,0
381,52,Male,108279,483,Divorced,48175,0
382,58,Male,117507,536,Divorced,48171,1
383,54,Female,136184,808,Divorced,48171,0
384,41,Female,138243,740,Single,48157,0
385,46,Male,24861,421,Married,48155,0
386,66,Female,123070,716,Married,48153,1
387,63,Male,56126,834,Single,48150,1
388,48,Male,100382,674,Married,48141,1
389,52,Male,111713,625,Married,48127,0
390,50,Male,53682,779,Married,48122,1
391,69,Female,38228,449,Single,48113,1
392,38,Female,120299,789,Divorced,48112,1
393,49,Female,44009,452,Married,48109,1
394,40,Female,20094,316,Married,48106,0
395,50,Male,126988,647,Divorced,48105,1
396,20,Female,100636,758,Married,48095,1
397,35,Male,72221,501,Married,48094,1
398,42,Male,118453,722,Divorced,48092,1
399,59,Female,37430,579,Single,48091,0
400,48,Male,55571,721,Single,48078,0
401,20,Female,74486,764,Married,48068,1
402,57,Female,110510,654,Married,48066,0
403,63,Female,116665,677,Divorced,48061,0
404,41,Female,132770,423,Divorced,48055,1
405,67,Female,82294,379,Married,48054,0
406,49,Male,149171,532,Married,48049,1
407,64,Female,40860,779,Single,48041,0
408,39,Female,92812,453,Single,48036,1
409,40,Male,86087,708,Single,48035,0
410,19,Female,133784,330,Single,48027,0
411,44,Female,28486,802,Divorced,48024,1
412,59,Male,103063,670,Single,48018,0
413,19,Male,69607,622,Single,48006,1
414,43,Female,29745,631,Married,48004,0
415,34,Male,126664,542,Single,47998,1
416,57,Female,98533,729,Married,47995,0
417,50,Male,38330,481,Married,47992,0
418,26,Female,140803,772,Single,47981,0
419,60,Female,60078,675,Single,47965,0
420,65,Female,75332,380,Married,47964,0
421,56,Male,124121,849,Divorced,47963,1
422,46,Female,74532,719,Married,47958,1
423,59,Male,141062,766,Divorced,47958,1
424,43,Female,110365,727,Divorced,47954,1
425,52,Female,63336,356,Single,47952,0
426,67,Female,28070,621,Single,47952,1
427,42,Female,21320,841,Single,47946,1
428,41,Female,109043,794,Single,47931,0
429,30,Male,58921,565,Married,47921,1
430,24,Male,26589,526,Divorced,47917,0
431,53,Male,84409,353,Married,47915,1
432,62,Female,112995,303,Divorced,47905,0
433,37,Female,35589,738,Married,47892,0
434,18,Male,56375,609,Divorced,47888,0
435,25,Female,63085,388,Single,47883,1
436,63,Female,80840,619,Divorced,47877,0
437,33,Female,63200,674,Single,47873,1
438,31,Male,118704,800,Divorced,47853,0
439,29,Male,46732,533,Married,47853,0
440,68,Male,117047,636,Divorced,47851,0
441,40,Male,42426,484,Married,47831,0
442,32,Male,50982,737,Married,47831,0
443,45,Female,79720,479,Single,47828,0
444,51,Female,36746,375,Divorced,47827,1
445,19,Female,48514,571,Married,47826,0
446,49,Female,84889,354,Divorced,47825,0
447,40,Male,23851,376,Single,47814,1
448,39,Male,39796,595,Single,47811,1
449,68,Female,96034,518,Divorced,47804,0
450,42,Male,82798,576,Married,47803,0
451,39,Female,118388,565,Married,47801,0
452,39,Female,82985,342,Married,47798,0
453,66,Female,54592,660,Divorced,47797,1
454,69,Female,64845,527,Married,47787,1
455,59,Male,35930,526,Married,47783,1
456,23,Female,143187,362,Married,47783,1
457,32,Male,130853,470,Single,47782,1
458,60,Female,128417,606,Married,47774,0
459,54,Female,133436,333,Divorced,47767,1
460,50,Female,127126,429,Divorced,47765,0
461,25,Female,41159,693,Married,47762,1
462,61,Male,115072,450,Divorced,47757,1
463,61,Female,109788,683,Divorced,47754,0
464,22,Male,44003,316,Married,47750,0
465,56,Female,125722,313,Single,47739,0
466,21,Female,55139,380,Married,47733,0
467,23,Female,125372,506,Divorced,47730,0
468,62,Male,72452,503,Divorced,47721,0
469,49,Female,42205,678,Married,47721,1
470,69,Female,116059,843,Divorced,47718,1
471,47,Female,76955,322,Single,47702,1
472,64,Female,130163,461,Married,47701,1
473,52,Female,27464,443,Divorced,47700,1
474,57,Male,102646,403,Single,47698,1
475,69,Male,131852,681,Divorced,47697,1
476,33,Female,92657,754,Single,47696,1
477,30,Female,29840,716,Divorced,47692,0
478,67,Male,122616,623,Married,47684,1
479,59,Female,60768,470,Divorced,47682,1
480,47,Male,29461,573,Married,47676,0
481,36,Female,40927,751,Single,47676,0
482,34,Female,109934,424,Single,47667,1
483,36,Male,118622,682,Divorced,47666,0
484,45,Female,35329,616,Married,47662,0
485,43,Male,35791,406,Married,47662,0
486,54,Male,72627,762,Single,47661,0
487,43,Male,148885,729,Single,47660,1
488,40,Female,34372,636,Divorced,47654,0
489,26,Male,134239,795,Single,47652,1
490,29,Male,112890,661,Single,47651,0
491,18,Female,68469,731,Married,47649,0
492,18,Female,129554,819,Married,47638,0
493,64,Female,107073,705,Married,47637,0
494,51,Female,138822,676,Single,47636,0
495,49,Female,54370,451,Divorced,47632,0
496,65,Female,71408,621,Divorced,47630,0
497,42,Male,110941,513,Single,47620,0
498,57,Female,127351,364,Divorced,47620,0
499,62,Male,43703,569,Single,47615,1
500,18,Female,35234,836,Divorced,47613,1
501,33,Male,27532,399,Single,47611,1
502,56,Male,125670,404,Married,47605,0
503,22,Female,55416,430,Divorced,47584,0
504,39,Female,92439,688,Married,47577,0
505,46,Male,38242,620,Married,47574,1
506,20,Female,70254,737,Divorced,47569,0
507,29,Female,99324,318,Single,47568,1
508,43,Male,55249,524,Married,47564,1
509,33,Male,120124,759,Married,47563,0
510,68,Male,115049,693,Single,47559,1
511,54,Female,128575,525,Single,47558,0
512,39,Female,105078,659,Divorced,47554,1
513,46,Female,52294,729,Divorced,47553,0
514,31,Female,79784,314,Single,47548,0
515,45,Male,23684,845,Married,47544,0
516,22,Female,43795,713,Single,47543,0
517,64,Male,144135,654,Divorced,47539,0
518,66,Female,80301,756,Married,47536,1
519,47,Female,89187,830,Married,47534,0
520,63,Male,30431,495,Divorced,47534,0
521,69,Female,95667,414,Married,47530,1
522,22,Female,109627,716,Single,47524,1
523,29,Male,110381,651,Divorced,47515,0
524,33,Female,110027,374,Married,47511,1
525,43,Male,141569,335,Divorced,47509,0
526,43,Male,75372,541,Married,47503,0
527,65,Male,90366,362,Single,47503,0
528,38,Male,114176,808,Divorced,47497,1
529,56,Female,139667,487,Married,47493,0
530,53,Female,92870,392,Single,47486,0
531,50,Female,67387,304,Single,47480,0
532,47,Male,72927,737,Single,47477,0
533,54,Female,29304,465,Married,47476,0
534,40,Female,133183,745,Married,47474,0
535,27,Female,37032,324,Single,47471,0
536,22,Female,111291,807,Single,47461,1
537,53,Male,132889,397,Single,47456,0
538,51,Male,79486,567,Single,47432,0
539,69,Female,85552,692,Single,47418,0
540,48,Male,93844,584,Married,47414,1
541,27,Female,49654,408,Divorced,47414,1
542,36,Female,59244,326,Divorced,47403,0
543,49,Female,25942,354,Divorced,47402,0
544,18,Male,70697,432,Married,47397,1
545,22,Female,146031,351,Divorced,47396,0
546,62,Male,22693,792,Divorced,47390,0
547,21,Male,76751,597,Divorced,47387,0
548,33,Female,101098,698,Divorced,47382,0
549,41,Male,138777,317,Single,47381,1
550,33,Male,26259,545,Married,47379,0
551,19,Female,139746,802,Divorced,47373,1
552,66,Male,133883,388,Single,47369,0
553,45,Male,127772,502,Divorced,47362,1
554,49,Female,137928,539,Divorced,47348,0
555,44,Female,24942,789,Divorced,47344,0
556,37,Male,67419,312,Divorced,47340,1
557,41,Female,122092,614,Divorced,47339,0
558,29,Female,76105,497,Single,47337,1
559,67,Male,85907,542,Divorced,47335,1
560,52,Male,47383,806,Single,47334,0
561,50,Female,43404,342,Divorced,47321,0
562,50,Male,92656,629,Married,47315,1
563,68,Female,25702,728,Single,47311,1
564,60,Female,93883,461,Divorced,47306,1
565,54,Male,120965,734,Single,47301,0
566,29,Male,76332,532,Divorced,47300,0
567,20,Female,59419,410,Divorced,47297,0
568,18,Female,110576,531,Single,47284,1
569,50,Female,123182,572,Divorced,47283,0
570,57,Female,131395,340,Divorced,47278,1
571,27,Male,122619,765,Divorced,47270,1
572,60,Female,108078,376,Divorced,47270,1
573,61,Male,128269,789,Divorced,47268,0
574,46,Male,93844,416,Divorced,47265,0
575,30,Female,59242,733,Single,47265,1
576,29,Male,144983,318,Married,47265,1
577,48,Male,54142,495,Divorced,47264,1
578,63,Female,129699,750,Single,47261,1
579,19,Male,116226,724,Married,47253,0
580,68,Male,27393,693,Single,47248,0
581,67,Female,89939,583,Married,47238,1
582,52,Female,89082,333,Married,47228,0
583,40,Female,122281,594,Married,47220,0
584,34,Female,48893,550,Single,47209,0
585,43,Female,29388,638,Married,47201,0
586,25,Female,138099,739,Divorced,47192,1
587,46,Female,127292,479,Divorced,47187,0
588,43,Male,82969,527,Married,47185,1
589,27,Male,56660,322,Married,47184,0
590,43,Female,109244,626,Divorced,47176,1
591,51,Male,44726,453,Single,47171,1
592,68,Male,99544,445,Single,47158,0
593,58,Female,121553,551,Divorced,47157,0
594,24,Male,82996,601,Single,47151,0
595,21,Female,20111,369,Single,47146,0
596,67,Male,135370,842,Married,47136,1
597,62,Female,37545,392,Single,47127,1
598,28,Male,60168,462,Divorced,47124,0
599,46,Male,22379,380,Single,47123,1
600,53,Male,115773,362,Married,47109,1
601,42,Female,131484,735,Divorced,47106,0
602,38,Male,107346,347,Divorced,47106,0
603,53,Male,61120,744,Divorced,47098,1
604,27,Female,37809,373,Married,47094,0
605,54,Female,72813,841,Divorced,47077,0
606,26,Male,94005,456,Married,47075,1
607,41,Male,47967,786,Married,47075,1
608,52,Male,29748,565,Single,47072,0
609,66,Male,43424,555,Divorced,47070,1
610,52,Female,106512,338,Single,47069,1
611,65,Male,43914,354,Single,47062,0
612,53,Male,115603,327,Married,47057,1
613,35,Female,128411,417,Single,47052,0
614,66,Male,98478,669,Single,47051,0
615,56,Male,39491,508,Single,47043,1
616,49,Male,69454,615,Divorced,47029,1
617,41,Female,90069,692,Single,47021,0
618,40,Female,71925,743,Married,47009,1
619,49,Male,109119,558,Divorced,47009,1
620,54,Male,57049,497,Married,47000,0
621,29,Female,47821,744,Divorced,46999,1
622,66,Male,115797,604,Divorced,46993,1
623,30,Male,123072,638,Divorced,46985,1
624,40,Female,49945,828,Married,46977,0
625,42,Female,37384,353,Single,46973,1
626,52,Female,48410,411,Divorced,46972,0
627,58,Male,97734,718,Married,46967,1
628,47,Male,83766,604,Divorced,46965,1
629,34,Male,114890,737,Single,46963,0
630,66,Male,136406,384,Divorced,46961,1
631,37,Female,27169,823,Married,46959,1
632,65,Male,60129,551,Divorced,46955,1
633,42,Male,117445,425,Married,46954,0
634,39,Female,23830,704,Single,46946,0
635,30,Female,76306,603,Single,46942,0
636,36,Male,106940,327,Divorced,46940,1
637,66,Female,85267,565,Single,46937,0
638,53,Female,47757,351,Married,46935,1
639,29,Male,83867,810,Divorced,46932,1
640,58,Male,55650,506,Married,46928,0
641,36,Male,53766,810,Divorced,46926,0
642,29,Male,101478,500,Married,46924,1
643,26,Female,52419,583,Divorced,46922,0
644,24,Female,36668,656,Married,46916,0
645,45,Male,36246,346,Married,46883,1
646,31,Male,44996,436,Divorced,46868,1
647,48,Female,71312,429,Married,46863,1
648,69,Male,23065,494,Single,46863,0
649,36,Male,30467,663,Married,46854,1
650,64,Male,70646,731,Divorced,46848,0
651,33,Male,130380,368,Single,46836,1
652,22,Female,41007,757,Single,46832,0
653,52,Male,88079,839,Married,46831,0
654,29,Female,48702,634,Married,46830,1
655,42,Male,114369,825,Married,46824,0
656,69,Male,95569,315,Single,46819,0
657,38,Female,73952,755,Single,46800,0
658,53,Male,78065,809,Single,46791,1
659,40,Female,54169,508,Divorced,46782,0
660,33,Male,36829,457,Divorced,46782,1
661,56,Male,80135,636,Married,46777,1
662,62,Male,24522,540,Divorced,46772,0
663,59,Male,105687,357,Divorced,46759,0
664,56,Male,55319,604,Married,46754,1
665,31,Female,140334,644,Married,46749,1
666,48,Female,46543,313,Single,46742,0
667,22,Male,138576,658,Single,46741,1
668,52,Male,123120,676,Married,46736,1
669,40,Female,137419,542,Married,46734,1
670,46,Female,50473,444,Divorced,46722,0
